loan_type,loan_purpose,business_or_commercial,loan_amount,rate_of_interest,term,income,age,Status
Personal Loan,Home Purchase,Personal,376500,4.25,360.0,7680.0,45-54,0
Personal Loan,Business Expansion,Personal,406500,4.125,360.0,6840.0,25-34,0
Personal Loan,Business Expansion,Personal,176500,4.75,360.0,2280.0,55-64,0
Personal Loan,Business Expansion,Personal,106500,3.625,360.0,2100.0,25-34,0
Personal Loan,Other,Personal,296500,4.56,360.0,6420.0,35-44,0
Personal Loan,Business Expansion,Personal,106500,5.25,360.0,7080.0,65-74,0
Business Loan,Other,Business,106500,3.625,300.0,2760.0,65-74,0
Mortgage Loan,Other,Personal,436500,2.875,360.0,5760.0,35-44,0
Personal Loan,Home Purchase,Personal,506500,3.625,360.0,6600.0,35-44,0
Personal Loan,Other,Personal,196500,3.25,180.0,10380.0,55-64,0
Business Loan,Business Expansion,Business,106500,3.99,360.0,4620.0,55-64,1
Mortgage Loan,Other,Personal,386500,4.125,360.0,5760.0,25-34,0
Personal Loan,Business Expansion,Personal,156500,3.99,120.0,8220.0,55-64,1
Personal Loan,Business Expansion,Personal,266500,4.625,360.0,4740.0,55-64,0
Personal Loan,Business Expansion,Personal,166500,4.56,360.0,3060.0,>74,0
Business Loan,Home Purchase,Business,356500,4.49,360.0,7140.0,45-54,0
Mortgage Loan,Business Expansion,Personal,226500,3.5,360.0,2880.0,55-64,0
Personal Loan,Other,Personal,616500,3.99,360.0,9060.0,45-54,1
Personal Loan,Business Expansion,Personal,406500,4.0,360.0,7500.0,45-54,0
Personal Loan,Other,Personal,556500,3.99,360.0,11220.0,35-44,1
Personal Loan,Other,Personal,426500,3.99,360.0,7740.0,45-54,1
Personal Loan,Other,Personal,276500,3.75,240.0,10140.0,45-54,0
Personal Loan,Other,Personal,646500,4.125,360.0,11700.0,25-34,0
Business Loan,Business Expansion,Business,76500,3.875,180.0,3300.0,55-64,0
Personal Loan,Home Purchase,Personal,396500,4.125,360.0,4380.0,45-54,0
Business Loan,Other,Business,236500,3.99,360.0,4440.0,35-44,1
Personal Loan,Business Expansion,Personal,176500,4.75,360.0,7440.0,35-44,0
Personal Loan,Home Purchase,Personal,676500,4.18,360.0,7080.0,25-34,0
Personal Loan,Business Expansion,Personal,146500,3.99,360.0,2160.0,65-74,0
Business Loan,Other,Business,366500,3.25,360.0,5760.0,45-54,0
Personal Loan,Education,Personal,306500,5.5,360.0,19200.0,55-64,0
Personal Loan,Other,Personal,286500,3.625,360.0,7740.0,55-64,0
Personal Loan,Other,Personal,236500,3.99,360.0,3480.0,45-54,1
Personal Loan,Home Purchase,Personal,526500,3.99,360.0,1020.0,35-44,1
Personal Loan,Other,Personal,426500,4.0,360.0,8340.0,65-74,0
Personal Loan,Other,Personal,276500,3.875,360.0,6840.0,25-34,0
Personal Loan,Home Purchase,Personal,56500,6.24,360.0,5640.0,>74,0
Business Loan,Business Expansion,Business,166500,3.99,360.0,1920.0,55-64,0
Mortgage Loan,Business Expansion,Personal,816500,3.875,360.0,17820.0,65-74,0
Personal Loan,Home Purchase,Personal,606500,3.875,360.0,9720.0,25-34,0
Personal Loan,Home Purchase,Personal,156500,3.99,360.0,3960.0,35-44,1
Personal Loan,Business Expansion,Personal,286500,3.75,360.0,5700.0,55-64,0
Personal Loan,Business Expansion,Personal,756500,3.99,360.0,14040.0,55-64,1
Mortgage Loan,Business Expansion,Personal,156500,3.99,360.0,3720.0,45-54,0
Mortgage Loan,Other,Personal,156500,3.5,360.0,5760.0,>74,0
Personal Loan,Other,Personal,386500,3.99,360.0,7440.0,35-44,1
Personal Loan,Home Purchase,Personal,996500,4.75,360.0,19380.0,35-44,0
Personal Loan,Business Expansion,Personal,176500,5.5,360.0,4380.0,>74,0
Business Loan,Business Expansion,Business,66500,3.5,360.0,720.0,>74,0
Personal Loan,Home Purchase,Personal,166500,3.625,360.0,2040.0,<25,0
Business Loan,Business Expansion,Business,146500,3.5,360.0,2400.0,55-64,0
Personal Loan,Business Expansion,Personal,186500,3.5,180.0,5160.0,55-64,0
Mortgage Loan,Business Expansion,Personal,136500,3.25,180.0,2220.0,55-64,0
Personal Loan,Other,Personal,266500,3.25,180.0,5580.0,35-44,0
Personal Loan,Home Purchase,Personal,296500,4.75,360.0,8040.0,45-54,0
Personal Loan,Other,Personal,456500,4.56,360.0,7320.0,35-44,0
Mortgage Loan,Business Expansion,Personal,226500,3.99,360.0,6480.0,65-74,1
Personal Loan,Other,Personal,306500,3.625,360.0,4980.0,65-74,0
Mortgage Loan,Business Expansion,Personal,326500,3.99,360.0,2580.0,65-74,1
Business Loan,Other,Business,156500,4.125,360.0,3480.0,55-64,0
Personal Loan,Business Expansion,Personal,536500,3.99,360.0,9300.0,35-44,1
Personal Loan,Other,Personal,176500,3.125,180.0,6900.0,65-74,0
Personal Loan,Business Expansion,Personal,76500,5.25,360.0,2580.0,55-64,0
Personal Loan,Home Purchase,Personal,476500,2.875,360.0,10200.0,65-74,0
Business Loan,Home Purchase,Business,406500,3.75,360.0,4500.0,55-64,0
Personal Loan,Home Purchase,Personal,306500,4.25,360.0,7020.0,55-64,0
Personal Loan,Business Expansion,Personal,326500,3.99,180.0,4860.0,45-54,0
Personal Loan,Business Expansion,Personal,146500,3.99,180.0,3180.0,45-54,0
Personal Loan,Other,Personal,206500,3.99,300.0,3900.0,55-64,0
Personal Loan,Education,Personal,76500,4.875,360.0,1440.0,45-54,0
Personal Loan,Other,Personal,76500,3.99,180.0,7080.0,65-74,1
Personal Loan,Business Expansion,Personal,256500,4.875,360.0,8940.0,65-74,0
Personal Loan,Business Expansion,Personal,486500,3.625,360.0,12360.0,45-54,0
Personal Loan,Home Purchase,Personal,706500,4.75,360.0,9060.0,25-34,0
Personal Loan,Other,Personal,656500,4.56,360.0,7500.0,65-74,0
Personal Loan,Other,Personal,656500,4.125,360.0,16140.0,25-34,0
Business Loan,Home Purchase,Business,296500,4.625,360.0,5040.0,25-34,0
Personal Loan,Other,Personal,256500,2.99,180.0,12240.0,55-64,0
Personal Loan,Business Expansion,Personal,126500,4.375,360.0,1500.0,65-74,0
Personal Loan,Home Purchase,Personal,236500,3.99,360.0,3300.0,35-44,0
Personal Loan,Business Expansion,Personal,166500,4.75,360.0,4320.0,45-54,0
Business Loan,Business Expansion,Business,266500,3.5,360.0,9240.0,45-54,0
Business Loan,Business Expansion,Business,616500,3.625,360.0,6900.0,25-34,0
Personal Loan,Business Expansion,Personal,266500,4.99,360.0,3960.0,65-74,0
Personal Loan,Business Expansion,Personal,226500,5.25,360.0,3240.0,45-54,0
Personal Loan,Business Expansion,Personal,206500,3.99,360.0,3840.0,25-34,1
Business Loan,Business Expansion,Business,186500,3.5,360.0,2040.0,55-64,0
Personal Loan,Other,Personal,356500,3.625,360.0,4620.0,65-74,0
Personal Loan,Business Expansion,Personal,476500,3.5,360.0,5220.0,55-64,0
Personal Loan,Business Expansion,Personal,206500,3.625,360.0,5400.0,35-44,0
Mortgage Loan,Home Purchase,Personal,96500,3.99,360.0,1560.0,25-34,1
Personal Loan,Home Purchase,Personal,486500,4.375,360.0,5340.0,25-34,0
Personal Loan,Home Purchase,Personal,366500,4.75,360.0,11220.0,45-54,0
Personal Loan,Other,Personal,246500,3.5,360.0,10500.0,55-64,0
Personal Loan,Education,Personal,116500,3.99,360.0,5160.0,35-44,1
Personal Loan,Business Expansion,Personal,726500,4.25,360.0,6120.0,45-54,0
Mortgage Loan,Home Purchase,Personal,426500,3.99,360.0,5820.0,25-34,0
Business Loan,Home Purchase,Business,46500,4.125,360.0,3960.0,45-54,0
Mortgage Loan,Other,Personal,736500,3.99,360.0,0.0,55-64,1
Business Loan,Business Expansion,Business,196500,3.49,360.0,3600.0,45-54,0
Personal Loan,Other,Personal,696500,4.0,360.0,10620.0,35-44,0
Personal Loan,Other,Personal,286500,3.625,360.0,7920.0,35-44,0
Business Loan,Business Expansion,Business,126500,3.5,360.0,2520.0,55-64,0
Personal Loan,Business Expansion,Personal,266500,3.99,180.0,8400.0,65-74,0
Mortgage Loan,Business Expansion,Personal,96500,3.875,360.0,1980.0,55-64,0
Business Loan,Other,Business,236500,4.125,360.0,5760.0,35-44,0
Personal Loan,Home Purchase,Personal,486500,4.625,360.0,16620.0,35-44,0
Mortgage Loan,Business Expansion,Personal,146500,3.875,180.0,7980.0,45-54,0
Personal Loan,Business Expansion,Personal,106500,4.125,360.0,3660.0,35-44,0
Personal Loan,Business Expansion,Personal,106500,4.375,180.0,3120.0,45-54,0
Personal Loan,Business Expansion,Personal,366500,5.625,360.0,5580.0,65-74,0
Personal Loan,Business Expansion,Personal,276500,4.25,360.0,9960.0,35-44,0
Personal Loan,Other,Personal,376500,4.5,360.0,6780.0,55-64,0
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,2640.0,45-54,0
Personal Loan,Other,Personal,266500,3.5,360.0,5760.0,45-54,0
Business Loan,Education,Business,66500,4.75,360.0,2520.0,65-74,0
Mortgage Loan,Other,Personal,136500,3.99,360.0,5760.0,65-74,0
Personal Loan,Other,Personal,296500,3.99,360.0,4800.0,45-54,0
Personal Loan,Business Expansion,Personal,486500,3.99,360.0,9960.0,35-44,1
Personal Loan,Business Expansion,Personal,296500,3.75,240.0,7860.0,45-54,0
Personal Loan,Other,Personal,456500,3.5,360.0,10500.0,35-44,0
Personal Loan,Business Expansion,Personal,66500,4.75,360.0,2100.0,>74,0
Personal Loan,Home Purchase,Personal,296500,3.99,360.0,19980.0,55-64,1
Personal Loan,Business Expansion,Personal,106500,3.99,360.0,6900.0,65-74,1
Personal Loan,Business Expansion,Personal,396500,4.99,360.0,4620.0,55-64,0
Personal Loan,Home Purchase,Personal,306500,4.25,360.0,5340.0,55-64,0
Personal Loan,Home Purchase,Personal,96500,3.99,360.0,2220.0,55-64,1
Mortgage Loan,Other,Personal,496500,3.99,360.0,5760.0,65-74,1
Personal Loan,Business Expansion,Personal,116500,3.99,360.0,1500.0,55-64,1
Personal Loan,Home Purchase,Personal,536500,3.99,360.0,5700.0,25-34,0
Personal Loan,Business Expansion,Personal,266500,4.75,360.0,5700.0,65-74,0
Personal Loan,Home Purchase,Personal,406500,4.99,360.0,38940.0,35-44,0
Personal Loan,Other,Personal,216500,3.5,360.0,6060.0,65-74,0
Mortgage Loan,Home Purchase,Personal,306500,3.99,360.0,5340.0,25-34,1
Personal Loan,Other,Personal,176500,3.99,180.0,3720.0,65-74,1
Personal Loan,Home Purchase,Personal,626500,3.99,360.0,6720.0,55-64,1
Personal Loan,Home Purchase,Personal,226500,4.125,360.0,5160.0,25-34,0
Personal Loan,Business Expansion,Personal,686500,4.0,360.0,7320.0,>74,0
Personal Loan,Other,Personal,566500,3.75,360.0,7620.0,25-34,0
Personal Loan,Home Purchase,Personal,446500,4.375,360.0,30420.0,65-74,0
Personal Loan,Other,Personal,456500,4.0,360.0,9840.0,45-54,0
Personal Loan,Home Purchase,Personal,106500,4.875,360.0,2400.0,<25,0
Personal Loan,Business Expansion,Personal,276500,4.875,360.0,10740.0,55-64,0
Personal Loan,Other,Personal,246500,3.25,360.0,3900.0,35-44,0
Personal Loan,Business Expansion,Personal,406500,3.75,360.0,4500.0,35-44,0
Personal Loan,Home Purchase,Personal,366500,3.99,180.0,6600.0,35-44,1
Personal Loan,Home Purchase,Personal,86500,4.99,360.0,2460.0,65-74,0
Personal Loan,Business Expansion,Personal,116500,4.625,360.0,3660.0,65-74,0
Personal Loan,Other,Personal,246500,4.5,324.0,5760.0,65-74,0
Personal Loan,Business Expansion,Personal,456500,3.75,360.0,6180.0,35-44,0
Personal Loan,Business Expansion,Personal,276500,3.125,180.0,9120.0,35-44,0
Personal Loan,Business Expansion,Personal,206500,3.99,180.0,6180.0,55-64,1
Personal Loan,Business Expansion,Personal,556500,4.875,360.0,10080.0,55-64,0
Business Loan,Business Expansion,Business,126500,4.5,360.0,2160.0,55-64,0
Personal Loan,Home Purchase,Personal,676500,3.875,360.0,9600.0,35-44,0
Personal Loan,Education,Personal,126500,4.625,360.0,2160.0,55-64,0
Personal Loan,Business Expansion,Personal,536500,3.99,360.0,4440.0,45-54,1
Personal Loan,Business Expansion,Personal,626500,3.75,360.0,13080.0,35-44,0
Business Loan,Business Expansion,Business,56500,3.99,360.0,1140.0,65-74,0
Personal Loan,Business Expansion,Personal,456500,3.5,360.0,9600.0,35-44,0
Personal Loan,Home Purchase,Personal,206500,3.625,300.0,8280.0,55-64,0
Personal Loan,Business Expansion,Personal,156500,4.56,360.0,4560.0,65-74,0
Personal Loan,Other,Personal,176500,3.375,180.0,8220.0,35-44,0
Personal Loan,Business Expansion,Personal,256500,5.5,360.0,10500.0,35-44,0
Personal Loan,Other,Personal,486500,3.625,360.0,9840.0,25-34,0
Business Loan,Home Purchase,Business,126500,4.99,360.0,3900.0,35-44,0
Personal Loan,Home Purchase,Personal,366500,4.0,360.0,6900.0,55-64,0
Mortgage Loan,Business Expansion,Personal,156500,3.375,360.0,1800.0,>74,0
Personal Loan,Business Expansion,Personal,336500,3.99,360.0,4020.0,35-44,1
Business Loan,Other,Business,196500,3.99,360.0,5760.0,25-34,1
Personal Loan,Business Expansion,Personal,376500,3.875,180.0,6300.0,45-54,0
Personal Loan,Other,Personal,356500,3.75,360.0,4500.0,35-44,0
Personal Loan,Other,Personal,146500,4.75,240.0,3480.0,>74,0
Personal Loan,Business Expansion,Personal,376500,3.99,360.0,5580.0,35-44,0
Personal Loan,Business Expansion,Personal,366500,3.99,360.0,4500.0,>74,1
Personal Loan,Business Expansion,Personal,276500,3.99,360.0,6060.0,55-64,0
Personal Loan,Home Purchase,Personal,166500,3.99,360.0,10320.0,35-44,1
Personal Loan,Business Expansion,Personal,216500,4.375,180.0,4380.0,65-74,0
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,2160.0,55-64,1
Mortgage Loan,Home Purchase,Personal,226500,4.25,360.0,11880.0,45-54,0
Mortgage Loan,Business Expansion,Personal,116500,3.25,180.0,2880.0,65-74,0
Business Loan,Home Purchase,Business,386500,3.75,360.0,4560.0,45-54,0
Business Loan,Business Expansion,Business,56500,3.99,360.0,900.0,65-74,1
Mortgage Loan,Other,Personal,436500,3.125,360.0,5760.0,55-64,0
Business Loan,Home Purchase,Business,326500,3.75,360.0,5880.0,35-44,0
Business Loan,Home Purchase,Business,406500,3.99,360.0,7080.0,45-54,1
Personal Loan,Business Expansion,Personal,196500,3.99,360.0,9180.0,45-54,1
Personal Loan,Business Expansion,Personal,306500,4.25,360.0,5280.0,45-54,0
Personal Loan,Other,Personal,546500,4.125,360.0,6480.0,25-34,0
Personal Loan,Business Expansion,Personal,566500,3.625,360.0,5520.0,45-54,0
Mortgage Loan,Other,Personal,436500,3.99,360.0,0.0,55-64,1
Personal Loan,Business Expansion,Personal,76500,4.5,360.0,2820.0,55-64,0
Personal Loan,Business Expansion,Personal,286500,4.375,360.0,5820.0,45-54,0
Personal Loan,Business Expansion,Personal,206500,3.75,120.0,13980.0,45-54,0
Personal Loan,Other,Personal,376500,3.75,360.0,7800.0,35-44,0
Personal Loan,Business Expansion,Personal,386500,4.25,360.0,6180.0,55-64,0
Mortgage Loan,Business Expansion,Personal,566500,3.99,360.0,3780.0,55-64,1
Mortgage Loan,Business Expansion,Personal,676500,3.99,360.0,7440.0,45-54,1
Personal Loan,Home Purchase,Personal,286500,4.75,360.0,16560.0,55-64,0
Personal Loan,Business Expansion,Personal,306500,4.125,360.0,6120.0,45-54,0
Business Loan,Other,Business,586500,3.5,360.0,5760.0,45-54,0
Personal Loan,Other,Personal,556500,3.99,360.0,12360.0,55-64,1
Business Loan,Home Purchase,Business,296500,3.0,360.0,3360.0,25-34,0
Personal Loan,Business Expansion,Personal,166500,3.99,360.0,4980.0,25-34,1
Mortgage Loan,Business Expansion,Personal,546500,3.375,360.0,7620.0,45-54,0
Business Loan,Other,Business,406500,3.875,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,176500,4.625,240.0,3600.0,55-64,0
Business Loan,Other,Business,346500,3.875,360.0,5760.0,55-64,0
Mortgage Loan,Home Purchase,Personal,616500,4.625,360.0,10020.0,45-54,0
Personal Loan,Home Purchase,Personal,516500,3.99,360.0,6000.0,25-34,1
Business Loan,Business Expansion,Business,106500,3.5,360.0,3300.0,45-54,0
Personal Loan,Business Expansion,Personal,146500,3.99,360.0,1800.0,>74,1
Personal Loan,Business Expansion,Personal,306500,3.99,180.0,15720.0,35-44,0
Personal Loan,Other,Personal,356500,3.75,300.0,3540.0,45-54,0
Personal Loan,Home Purchase,Personal,246500,3.0,180.0,5220.0,55-64,0
Personal Loan,Other,Personal,266500,3.875,360.0,6120.0,55-64,0
Personal Loan,Other,Personal,146500,3.75,300.0,2340.0,>74,0
Personal Loan,Other,Personal,136500,3.99,180.0,5100.0,45-54,1
Business Loan,Other,Business,336500,4.99,360.0,7020.0,65-74,0
Personal Loan,Other,Personal,596500,4.375,360.0,11700.0,35-44,0
Business Loan,Other,Business,296500,3.99,360.0,5760.0,45-54,1
Mortgage Loan,Business Expansion,Personal,196500,3.99,360.0,4620.0,45-54,0
Personal Loan,Other,Personal,506500,4.5,360.0,6000.0,25-34,0
Personal Loan,Other,Personal,796500,3.5,360.0,15900.0,35-44,0
Personal Loan,Business Expansion,Personal,126500,3.99,120.0,2340.0,65-74,0
Personal Loan,Home Purchase,Personal,176500,4.375,360.0,2160.0,25-34,0
Personal Loan,Home Purchase,Personal,726500,3.875,360.0,13620.0,35-44,0
Personal Loan,Other,Personal,326500,3.75,180.0,10200.0,55-64,0
Personal Loan,Home Purchase,Personal,446500,4.875,360.0,11760.0,55-64,0
Personal Loan,Business Expansion,Personal,476500,3.625,360.0,7980.0,45-54,0
Personal Loan,Business Expansion,Personal,76500,3.99,180.0,4920.0,35-44,0
Personal Loan,Home Purchase,Personal,726500,4.0,360.0,10320.0,65-74,0
Personal Loan,Other,Personal,296500,4.75,360.0,10140.0,45-54,0
Personal Loan,Home Purchase,Personal,486500,4.125,360.0,6600.0,25-34,0
Personal Loan,Other,Personal,76500,3.99,180.0,1740.0,65-74,0
Personal Loan,Home Purchase,Personal,476500,3.875,360.0,5040.0,25-34,0
Business Loan,Business Expansion,Business,186500,3.875,360.0,3780.0,35-44,0
Business Loan,Home Purchase,Business,166500,3.99,360.0,3120.0,45-54,1
Personal Loan,Business Expansion,Personal,266500,3.99,360.0,2880.0,>74,1
Personal Loan,Home Purchase,Personal,386500,3.625,360.0,15420.0,35-44,0
Business Loan,Business Expansion,Business,86500,3.875,360.0,2100.0,45-54,0
Personal Loan,Home Purchase,Personal,316500,4.125,360.0,6240.0,25-34,0
Personal Loan,Other,Personal,246500,3.99,324.0,7920.0,65-74,0
Personal Loan,Business Expansion,Personal,206500,3.75,240.0,2700.0,>74,0
Personal Loan,Business Expansion,Personal,416500,5.125,360.0,6600.0,55-64,0
Personal Loan,Home Purchase,Personal,376500,4.99,360.0,15600.0,45-54,0
Business Loan,Home Purchase,Business,356500,3.99,360.0,3600.0,35-44,1
Personal Loan,Business Expansion,Personal,176500,3.99,180.0,8700.0,55-64,0
Mortgage Loan,Business Expansion,Personal,756500,3.99,360.0,10500.0,55-64,1
Personal Loan,Other,Personal,396500,3.99,360.0,3480.0,55-64,1
Personal Loan,Other,Personal,216500,3.99,360.0,8820.0,45-54,0
Business Loan,Education,Business,96500,3.99,360.0,1440.0,45-54,1
Business Loan,Other,Business,266500,4.125,360.0,5760.0,25-34,0
Business Loan,Home Purchase,Business,396500,3.625,360.0,4800.0,45-54,0
Personal Loan,Other,Personal,356500,3.875,360.0,5760.0,45-54,0
Personal Loan,Business Expansion,Personal,686500,3.99,360.0,7800.0,55-64,0
Personal Loan,Other,Personal,256500,3.99,360.0,4740.0,65-74,1
Personal Loan,Other,Personal,536500,3.625,360.0,4980.0,55-64,0
Personal Loan,Business Expansion,Personal,196500,4.75,360.0,5640.0,35-44,0
Personal Loan,Other,Personal,386500,3.75,360.0,5520.0,45-54,0
Personal Loan,Other,Personal,466500,3.75,360.0,5700.0,55-64,0
Mortgage Loan,Other,Personal,506500,3.125,360.0,5760.0,35-44,0
Personal Loan,Home Purchase,Personal,166500,3.99,360.0,2760.0,45-54,1
Personal Loan,Home Purchase,Personal,196500,3.99,300.0,3060.0,55-64,1
Mortgage Loan,Business Expansion,Personal,126500,4.375,360.0,2340.0,65-74,0
Mortgage Loan,Business Expansion,Personal,386500,3.0,360.0,5700.0,65-74,0
Business Loan,Business Expansion,Business,76500,3.99,180.0,1320.0,65-74,1
Personal Loan,Business Expansion,Personal,336500,3.99,180.0,2340.0,35-44,1
Personal Loan,Other,Personal,266500,4.25,360.0,4920.0,65-74,0
Business Loan,Business Expansion,Business,186500,3.99,360.0,2520.0,45-54,1
Personal Loan,Other,Personal,396500,4.5,360.0,16800.0,45-54,0
Personal Loan,Business Expansion,Personal,216500,4.5,360.0,2520.0,55-64,0
Mortgage Loan,Business Expansion,Personal,326500,3.5,360.0,5760.0,45-54,1
Personal Loan,Business Expansion,Personal,476500,4.18,360.0,11160.0,55-64,0
Personal Loan,Other,Personal,396500,3.625,360.0,3720.0,25-34,0
Personal Loan,Home Purchase,Personal,886500,3.99,360.0,13980.0,25-34,0
Personal Loan,Other,Personal,246500,3.99,360.0,11820.0,55-64,0
Mortgage Loan,Other,Personal,236500,3.99,360.0,0.0,45-54,1
Personal Loan,Business Expansion,Personal,276500,4.99,360.0,10080.0,55-64,0
Business Loan,Home Purchase,Business,116500,3.99,360.0,2760.0,55-64,1
Mortgage Loan,Business Expansion,Personal,306500,3.625,360.0,4260.0,65-74,0
Personal Loan,Other,Personal,846500,3.99,360.0,39300.0,45-54,1
Personal Loan,Other,Personal,666500,3.99,360.0,9060.0,45-54,0
Personal Loan,Other,Personal,226500,3.5,324.0,7140.0,55-64,0
Personal Loan,Other,Personal,216500,3.99,360.0,5520.0,55-64,1
Personal Loan,Other,Personal,256500,5.125,360.0,7020.0,25-34,0
Personal Loan,Business Expansion,Personal,136500,3.99,360.0,2760.0,25-34,0
Personal Loan,Home Purchase,Personal,306500,3.99,360.0,8160.0,25-34,1
